lemma	rank	occurrences
el	1	413900
de	2	179642
y	3	142748
que	4	141469
a	5	88271
en	6	79705
uno	7	70143
ser	8	57352
no	9	53252
su	10	50401
con	11	42466
yo	12	40981
haber	13	38934
por	14	36561
del	15	26494
al	16	23764
como	17	22636
decir	18	21067
este	19	20809
estar	20	20286
tu	21	20269
todo	22	20010
para	23	19047
mas	24	18857
si	25	17515
tener	26	17396
hacer	27	15722
pero	28	14871
mucho	29	14838
mi	30	14617
tanto	31	14237
poder	32	14149
otro	33	12759
ver	34	11641
cuando	35	9481
ir	36	9269
sin	37	9228
ese	38	8801
dar	39	8567
o	40	8440
saber	41	8109
aquel	42	7999
querer	43	7877
porque	44	7869
ni	45	6994
ya	46	6945
alguno	47	6786
pues	48	6634
vez	49	6550
asi	50	6298
bien	51	6275
hombre	52	6163
sobre	53	6143
usted	54	5876
cosa	55	5795
casa	56	5644
dos	57	5620
mismo	58	5446
dia	59	5433
parecer	60	5407
donde	61	5269
quien	62	5170
venir	63	5121
llegar	64	5056
hasta	65	5010
poco	66	5001
solo	67	4722
mano	68	4543
tiempo	69	4489
despues	70	4444
poner	71	4365
hablar	72	4358
ojo	73	4322
salir	74	4079
pasar	75	4074
entre	76	4048
vida	77	4037
gran	78	4027
pensar	79	4001
ahora	80	3998
entonces	81	3902
buen	82	3872
volver	83	3864
dejar	84	3853
quedar	85	3773
deber	86	3697
cual	87	3678
mujer	88	3634
tal	89	3620
llevar	90	3612
e	91	3562
mirar	92	3542
nada	93	3515
aqui	94	3501
nuestro	95	3361
responder	96	3339
primero	97	3310
luego	98	3261
creer	99	3261
sentir	100	3241
parte	101	3231
antes	102	3167
don	103	3162
tambien	104	3134
tomar	105	3114
siempre	106	3002
palabra	107	2986
aunque	108	2975
sino	109	2950
noche	110	2930
nunca	111	2903
alli	112	2899
grande	113	2877
mal	114	2854
algo	115	2851
cabeza	116	2841
mejor	117	2821
padre	118	2749
aun	119	2724
manera	120	2706
cada	121	2705
hacia	122	2705
hijo	123	2699
mientras	124	2661
encontrar	125	2645
entrar	126	2613
seguir	127	2589
preguntar	128	2573
llamar	129	2533
voz	130	2522
nuevo	131	2510
mundo	132	2502
desde	133	2492
amigo	134	2489
viejo	135	2455
vivir	136	2454
ninguno	137	2446
menos	138	2424
puerta	139	2363
tierra	140	2343
medio	141	2261
comenzar	142	2220
joven	143	2217
conocer	144	2192
lugar	145	2175
tres	146	2152
pie	147	2102
oir	148	2085
hora	149	2077
fin	150	2072
momento	151	2061
madre	152	2049
fue	153	2040
esperar	154	2033
hermoso	155	2032
gente	156	2010
verdad	157	2005
cierto	158	1974
corazon	159	1967
caer	160	1952
cuanto	161	1948
nadie	162	1932
amor	163	1926
camino	164	1892
bajo	165	1888
comer	166	1872
contar	167	1838
mayor	168	1832
junto	169	1820
pobre	170	1814
pronto	171	1804
lado	172	1768
bueno	173	1729
alto	174	1725
alma	175	1724
razon	176	1709
morir	177	1706
casi	178	1690
traer	179	1684
correr	180	1680
hallar	181	1672
caballero	182	1645
tratar	183	1640
acabar	184	1620
vuestro	185	1604
