Total occurrences found: 2,739,427,966
Total lemmas found: 3,420,765

Pass 2: Determining level cutoffs...
----------------------------------------------------------------------------------------------------
Level | Vocab Size (Rank)    | New Words Added    | Cumulative %    | Threshold-crossing Lemma
----------------------------------------------------------------------------------------------------
1     | 3                    | 3                  | 22.16          % | que
2     | 6                    | 3                  | 29.74          % | a
3     | 9                    | 3                  | 35.56          % | no
4     | 12                   | 3                  | 38.74          % | estar
5     | 15                   | 3                  | 41.29          % | haber
6     | 18                   | 3                  | 43.65          % | este
7     | 22                   | 4                  | 46.07          % | si
8     | 27                   | 5                  | 48.43          % | todo
9     | 34                   | 7                  | 50.68          % | decir
10    | 43                   | 9                  | 52.73          % | aqui
11    | 58                   | 15                 | 54.84          % | dos
12    | 77                   | 19                 | 56.90          % | comision
13    | 102                  | 25                 | 58.94          % | llevar
14    | 132                  | 30                 | 60.99          % | sistema
15    | 168                  | 36                 | 63.00          % | incluir
16    | 213                  | 45                 | 65.03          % | relativo
17    | 267                  | 54                 | 67.05          % | cambio
18    | 333                  | 66                 | 69.07          % | ejemplo
19    | 411                  | 78                 | 71.08          % | trabajador
20    | 505                  | 94                 | 73.10          % | sentido
21    | 617                  | 112                | 75.10          % | tecnologia
22    | 752                  | 135                | 77.12          % | entrada
23    | 917                  | 165                | 79.13          % | rojo
24    | 1,122                | 205                | 81.13          % | ok
25    | 1,375                | 253                | 83.13          % | identificar
26    | 1,697                | 322                | 85.13          % | analizar
27    | 2,119                | 422                | 87.13          % | intervenir
28    | 2,705                | 586                | 89.13          % | celular
29    | 3,552                | 847                | 91.13          % | concretamente
30    | 4,911                | 1,359              | 93.14          % | sancionar
31    | 7,629                | 2,718              | 95.18          % | transbordador
32    | 13,065               | 5,436              | 96.86          % | exageracion
33    | 23,937               | 10,872             | 98.04          % | prostituir
34    | 45,681               | 21,744             | 98.78          % | accedido
35    | 89,169               | 43,488             | 99.24          % | emulado
36    | 176,145              | 86,976             | 99.53          % | antojasar
37    | 350,097              | 173,952            | 99.71          % | loverde
38    | 698,001              | 347,904            | 99.83          % | erespolicia
39    | 1,393,809            | 695,808            | 99.92          % | cacuruse
40    | 3,420,765            | 2,026,956          | 100.00         % | quelala
----------------------------------------------------------------------------------------------------
